Anno Accertamento;Mese Accertamento;Giorno Accertamento;Tipologia Verbale;Tipo Sanzione;Via 1;Numero Civico;Via 2;Descrizione Sanzione;Descrizione Paragrafo;Descrizione Capitolo;Descrizione Prontuario;Numero Verbali
2017;07;02;POLIZIA MUNICIPALE;Amministrativa;Via Roma;357;(Altri);ART. 46 C. 4 ABITAZIONI PRIVATE REGOLAMENTO POLIZIA URBANA;ABITAZIONI PRIVATE;TUTELA QUIETE PUBBLICA E PRIVATA;REGOLAMENTO POLIZIA URBANA;1
2017;07;02;POLIZIA MUNICIPALE;Tributaria;Via Po;0;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;2
2017;07;02;POLIZIA MUNICIPALE;Tributaria;Via Po;18;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;76;(Altri);ART. 8 C. 1 LETT. D ALTRE ATTIVITA' VIETATE REGOLAMENTO POLIZIA URBANA;ALTRE ATTIVITA' VIETATE;SICUREZZA AMBIENTALE E IGIENE;REGOLAMENTO POLIZIA URBANA;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Corso Principe Oddone;80;(Altri);ART. 21 PUNTO 2 ACCESSO GIARDINI, PARCHI ED AREE PUBBL. REGOLAMENTO TUTELA E BENESSERE ANIMALI;ACCESSO GIARDINI, PARCHI ED AREE PUBBL.;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;2
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Corso Principe Oddone;80;(Altri);ART. 28 PUNTO 2 DOCUMENTI DA PORTARE AL SEGUITO REGOLAMENTO TUTELA E BENESSERE ANIMALI;DOCUMENTI DA PORTARE AL SEGUITO;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;2
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Corso Toscana;0;(Altri);ART. 7 C. 1 RIPRISTINO NON CONFORME REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;RIPRISTINO NON CONFORME;LAVORI REGOLARMENTE AUTORIZZATI;REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Corso Umbria;57;(Altri);ART. 5 C. 8 RILASCIO?RINNOVO CONC. E AUTOR. REGOLAMENTO C.O.S.A.P.;RILASCIO?RINNOVO CONC. E AUTOR.;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Lungo Dora Agrigento;94;(Altri);ART. 24 PUNTO 1 OBBLIGO DI RACCOLTA DEIEZIONI SOLIDE REGOLAMENTO TUTELA E BENESSERE ANIMALI;OBBLIGO DI RACCOLTA DEIEZIONI SOLIDE;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via Antonio Cecchi;66;(Altri);ARTT. 14 C. 1?22 C. 3 PUBBLICITA' DEI PREZZI ATTIVITA' PRODUTTIVE?D.L.vo 114/98;PUBBLICITA' DEI PREZZI;ESERC. VEND. DETTAGLIO IN SEDE FISSA;ATTIVITA' PRODUTTIVE?D.L.vo 114/98;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via Casteldelfino;0;(Altri);ART. 7 C. 1 RIPRISTINO NON CONFORME REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;RIPRISTINO NON CONFORME;LAVORI REGOLARMENTE AUTORIZZATI;REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via Errico Giachino;24;(Altri);ARTT. 34?68 INTERVENTI URGENTI REGOLAMENTO EDILIZIO;INTERVENTI URGENTI;ESECUZIONE DELLE OPERE;REGOLAMENTO EDILIZIO;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via Montalenghe;0;(Altri);ART. 7 C. 1 RIPRISTINO NON CONFORME REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;RIPRISTINO NON CONFORME;LAVORI REGOLARMENTE AUTORIZZATI;REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via Moretta;27;(Altri);ART. 3 C. 5 VARIAZIONI REGOLAMENTO C.O.S.A.P.;VARIAZIONI;AMMINISTRATORI STABILI;REGOLAMENTO C.O.S.A.P.;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via S.Antonino;40;(Altri);ART. 6 BIS OTTEMPERANZA REGOLAMENTO POLIZIA URBANA;OTTEMPERANZA;DISPOSIZIONI GENERALI;REGOLAMENTO POLIZIA URBANA;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via S.Massimo;33;(Altri);ART. 8 C. 1 LETT. C ALTRE ATTIVITA' VIETATE REGOLAMENTO POLIZIA URBANA;ALTRE ATTIVITA' VIETATE;SICUREZZA AMBIENTALE E IGIENE;REGOLAMENTO POLIZIA URBANA;1
2017;07;03;POLIZIA MUNICIPALE;Amministrativa;Via Salvatore Cognetti De Martiis;0;Via Forli';ART. 7 C. 1 RIPRISTINO NON CONFORME REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;RIPRISTINO NON CONFORME;LAVORI REGOLARMENTE AUTORIZZATI;REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;56;(Altri);ART. 13 C. 2 IN REL ART. 5 C. 1 OMESSA CONSEGNA VEICOLO A CENTRI ABILIT. TUTELA AMBIENTE?D.L.VO 209/03;OMESSA CONSEGNA VEICOLO A CENTRI ABILIT.;VEICOLI A MOTORE E RIMORCHI;TUTELA AMBIENTE?D.L.VO 209/03;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Palermo;97;(Altri);ARTT. 14 C. 1?22 C. 3 PUBBLICITA' DEI PREZZI ATTIVITA' PRODUTTIVE?D.L.vo 114/98;PUBBLICITA' DEI PREZZI;ESERC. VEND. DETTAGLIO IN SEDE FISSA;ATTIVITA' PRODUTTIVE?D.L.vo 114/98;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Palermo;97;(Altri);ARTT. 7 C. 1?22 C. 1/6 ESERCIZI DI VICINATO ATTIVITA' PRODUTTIVE?D.L.vo 114/98;ESERCIZI DI VICINATO;ESERC. VEND. DETTAGLIO IN SEDE FISSA;ATTIVITA' PRODUTTIVE?D.L.vo 114/98;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Peschiera;195;(Altri);ART. 6 BIS OTTEMPERANZA REGOLAMENTO POLIZIA URBANA;OTTEMPERANZA;DISPOSIZIONI GENERALI;REGOLAMENTO POLIZIA URBANA;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;0;(Altri);ART. 40 C. 2 SPECIE COLUMBA LIVIA DOMESTICA REGOLAMENTO TUTELA E BENESSERE ANIMALI;SPECIE COLUMBA LIVIA DOMESTICA;ALTRE SPECIE ANIMALI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;0;Corso Valdocco;ART. 40 C. 2 SPECIE COLUMBA LIVIA DOMESTICA REGOLAMENTO TUTELA E BENESSERE ANIMALI;SPECIE COLUMBA LIVIA DOMESTICA;ALTRE SPECIE ANIMALI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;153;(Altri);ART. 252 BIS C. 11 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;178;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;182;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;3
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Svizzera;73;(Altri);ART. 12 C. 3 OCCUPAZIONE POSTEGGIO REGOLAMENTO AREE MERCATALI;OCCUPAZIONE POSTEGGIO;REGOLAMENTAZIONE POSTEGGI;REG. DISC. DEL COMMERCIO SU AREA PUBBLICA;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Trieste;21;(Altri);ART. 21 PUNTO 2 ACCESSO GIARDINI, PARCHI ED AREE PUBBL. REGOLAMENTO TUTELA E BENESSERE ANIMALI;ACCESSO GIARDINI, PARCHI ED AREE PUBBL.;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;3
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Corso Vercelli;21;(Altri);ART. 6 C. 5 ALL. 2 REG. CEE Nø 852/2004 ATTIVITA' PRODUTTIVE D.L.VO Nø 193/2007;ALL. 2 REG. CEE Nø 852/2004;REQUISITI IN MATERIA D'IGIENE;ATTIVITA' PRODUTTIVE D.L.VO Nø 193/2007;4
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via C.F. Ormea;6;(Altri);ARTT. 6 C. 2 C. 6?28 C. 4 IN REL ART. 24 C. 2D.L.vo 507/1993 SUBINGRESSO NELL' AUTORIZZAZIONE REGOLAMENTO C.I.M.P. 2010;SUBINGRESSO NELL' AUTORIZZAZIONE;DISPOSIZIONI GENERALI;REGOLAMENTO C.I.M.P. 2010;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Ghemme;26;(Altri);ART. 6 BIS OTTEMPERANZA REGOLAMENTO POLIZIA URBANA;OTTEMPERANZA;DISPOSIZIONI GENERALI;REGOLAMENTO POLIZIA URBANA;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Ghemme;26;(Altri);ARTT. 11 C. 3 ? 22 C. 2 E 3 ORARI APERTURA E CHIUSURA COMMERCIO ? ACCERT. VIOLAZ. D.L.vo 31/3/98 N. 114;ORARI APERTURA E CHIUSURA;ESERC. VEND. DETTAGLIO IN SEDE FISSA;ATTIVITA' PRODUTTIVE?D.L.vo 114/98;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Legnano;44;(Altri);ART. 21 PUNTO 2 ACCESSO GIARDINI, PARCHI ED AREE PUBBL. REGOLAMENTO TUTELA E BENESSERE ANIMALI;ACCESSO GIARDINI, PARCHI ED AREE PUBBL.;CANI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;3
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Onorato Vigliani;0;Via Monastir;ARTT. 44 C. 5?49 C. 2 PULIZIA DEI MERCATI REGOLAMENTO AREE MERCATALI;PULIZIA DEI MERCATI;PULIZIA;REG. DISC. DEL COMMERCIO SU AREA PUBBLICA;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Osasco;21;(Altri);ART. 252 C. 2 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Osasco;21;(Altri);ART. 7 C. 2 IN REL ART. 21 C. 2 REQUISITI IGIENICO SANITARI ATTIVITA' PRODUTTIVE ? L.R. 38/2006;REQUISITI IGIENICO SANITARI;ESERCIZI DI SOMMINISTRAZIONE;ATTIVITA' PRODUTTIVE ? L.R. 38/2006;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Tintoretto;1;(Altri);ARTT. 34?87 DESPOSITO DI MATERIALE SU AREE PUBBLICHE REGOLAMENTO VERDE PUBBLICO E PRIVATO;DESPOSITO DI MATERIALE SU AREE PUBBLICHE;NORME DI CARATTERE SPECIALE;REGOLAMENTO VERDE PUBBLICO E PRIVATO;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Vanchiglia;39;(Altri);ART. 6 BIS OTTEMPERANZA REGOLAMENTO POLIZIA URBANA;OTTEMPERANZA;DISPOSIZIONI GENERALI;REGOLAMENTO POLIZIA URBANA;1
2017;07;04;POLIZIA MUNICIPALE;Amministrativa;Via Vanchiglia;41;(Altri);ART. 6 BIS OTTEMPERANZA REGOLAMENTO POLIZIA URBANA;OTTEMPERANZA;DISPOSIZIONI GENERALI;REGOLAMENTO POLIZIA URBANA;1
2017;07;04;POLIZIA MUNICIPALE;Tributaria;Piazza Emanuele Filiberto;7;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;04;POLIZIA MUNICIPALE;Tributaria;Piazza Eugenio Montale;0;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;04;POLIZIA MUNICIPALE;Tributaria;Via C.F. Ormea;6;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;04;POLIZIA MUNICIPALE;Tributaria;Via Giuseppe Verdi;20;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;04;POLIZIA MUNICIPALE;Tributaria;Via Giuseppe Verdi;33;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;04;POLIZIA MUNICIPALE;Tributaria;Via Tintoretto;1;(Altri);ART. 18 C. 2 OCCUPAZIONI FUORI DALLA SEDE STRADALE REGOLAMENTO C.O.S.A.P.;OCCUPAZIONI FUORI DALLA SEDE STRADALE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Corso Moncalieri;88;(Altri);ARTT. 83?80?87 DIVIETO DI CIRC. VEICOLI A MOTORE REGOLAMENTO VERDE PUBBLICO E PRIVATO;DIVIETO DI CIRC. VEICOLI A MOTORE;NORME DI CARATTERE SPECIALE;REGOLAMENTO VERDE PUBBLICO E PRIVATO;5
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;0;Corso Orbassano;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Via Cernaia;23;(Altri);ART. 37 C. 1 LETT. L SOSTE REGOLAMENTO TAXI;SOSTE;REG.SERV.PUBBLICO PIAZZA CON AUTOVETTURA;REGOLAMENTO TAXI;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Via Druento;175;(Altri);ART. 7 C. 1 RIPRISTINO NON CONFORME REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;RIPRISTINO NON CONFORME;LAVORI REGOLARMENTE AUTORIZZATI;REGOLAMENTO MANOMISSIONE SUOLO PUBBLICO;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Via G. Ascoli;3;(Altri);ART. 6 BIS OTTEMPERANZA REGOLAMENTO POLIZIA URBANA;OTTEMPERANZA;DISPOSIZIONI GENERALI;REGOLAMENTO POLIZIA URBANA;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Via G. Cottolengo;1;(Altri);ART. 1 AUTORIZZAZIONI REGOLAMENTO PARRUCCHIERI;AUTORIZZAZIONI;ATTIVITA;REGOLAMENTO PARRUCCHIERI;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Via G. Cottolengo;1;(Altri);ART. 7 C. 11 IDON. DEI LOCALI E DELLE ATTREZZATURE REGOLAMENTO ACCONCIATORE ED ESTETISTA;IDON. DEI LOCALI E DELLE ATTREZZATURE;IDONEITA' IGIENICO SANITARIA;REGOLAMENTO ACCONCIATORE ED ESTETISTA;1
2017;07;05;POLIZIA MUNICIPALE;Amministrativa;Via Monte Di Pieta';2;(Altri);ART. 46 C. 1 ABITAZIONI PRIVATE REGOLAMENTO POLIZIA URBANA;ABITAZIONI PRIVATE;TUTELA QUIETE PUBBLICA E PRIVATA;REGOLAMENTO POLIZIA URBANA;1
2017;07;05;POLIZIA MUNICIPALE;Tributaria;Piazza Carlo Felice;17;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;05;POLIZIA MUNICIPALE;Tributaria;Via Carlo Alberto;34;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso F. Brunelleschi;0;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso F. Brunelleschi;0;Corso Peschiera;ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso F. Brunelleschi;2;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso F. Brunelleschi;21;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso F. Brunelleschi;27;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso F. Brunelleschi;29;(Altri);ART. 18 SANZIONI ED INDENNITA' DI MORA REGOLAMENTO C.O.S.A.P.;SANZIONI ED INDENNITA' DI MORA;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;119;(Altri);ART. 13 BIS ANTENNE PARABOLICHE REGOLAMENTO POLIZIA URBANA;ANTENNE PARABOLICHE;DISP. PART. PER SALVAGUARDIA AMBIENTE;REGOLAMENTO POLIZIA URBANA;3
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;119;(Altri);ART. 13 C. 1 TENDE SU FACCIATE DI EDIFICI REGOLAMENTO POLIZIA URBANA;TENDE SU FACCIATE DI EDIFICI;DISP. PART. PER SALVAGUARDIA AMBIENTE;REGOLAMENTO POLIZIA URBANA;2
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Piazza Adriano;0;Corso F. Ferrucci;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Piazza G. Chironi;8;(Altri);ART. 44 BIS C. 1 C. 2 GENERICO REGOLAMENTO POLIZIA URBANA;GENERICO;TUTELA DELLA CONVIVENZA CIVILE;REGOLAMENTO POLIZIA URBANA;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Strada Guido Volante;6;(Altri);ART. 46 C. 3 ABITAZIONI PRIVATE REGOLAMENTO POLIZIA URBANA;ABITAZIONI PRIVATE;TUTELA QUIETE PUBBLICA E PRIVATA;REGOLAMENTO POLIZIA URBANA;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Via Ala Di Stura;39;(Altri);ART. 7 C. 1 L. 584/75 DIVIETO DI FUMARE IN DETERMINATI LOCALI TUTELA AMBIENTE;DIVIETO DI FUMARE IN DETERMINATI LOCALI;SALUTE PUBBLICA;TUTELA AMBIENTE;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Via Cardinal Massaia;98;(Altri);ART. 15 C. 1 REGOLAMENTO Nø 264 REGOLAMENTO SERVIZIO MORTUARIO E CIMITERI;REGOLAMENTO Nø 264;DISCIPLINA TRASPORTO FUNEBRE;REGOLAMENTO SERVIZIO MORTUARIO E CIMITERI;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Via Desana;7;(Altri);ARTT. 5 C. 1?10 C. 1 RUMORE ESTERNO REGOLAMENTO INQUINAMENTO ACUSTICO;RUMORE ESTERNO;ATTIVITA' RUMOROSE PERMANENTI;REGOLAMENTO INQUINAMENTO ACUSTICO;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Via Don G. Bosco;30;(Altri);ART. 3 C. 2BIS DIRETTORE TECNICO REGOLAMENTO ACCONCIATORE ED ESTETISTA;DIRETTORE TECNICO;REQUISITI PER ESERCITARE L'ATTIVITA';REGOLAMENTO ACCONCIATORE ED ESTETISTA;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Via G. Bidone;30;(Altri);ARTT. 32 C. 2?47 VOLANTINAGGIO REGOLAMENTO GESTIONE RIFIUTI URBANI;VOLANTINAGGIO;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI;1
2017;07;06;POLIZIA MUNICIPALE;Amministrativa;Via G. Bidone;30;(Altri);ARTT. 4 C. 1?28 C. 4 VOLANTINAGGIO REGOLAMENTO C.I.M.P. 2010;VOLANTINAGGIO;DISPOSIZIONI GENERALI;REGOLAMENTO C.I.M.P. 2010;1
